TITLE ¤¢¤¤¤Ä¤éÈ«†TÍ¬·™»á
AUTHOR zutomayo
BPM 125

DIFFICULTY Hard

NOTES
3002 4.24
0003 4.58
0002 4.83
0023 5.17
0230 5.27
1300 5.5
0002 5.75
0003 6.069999999999999
0200 6.1899999999999995
0300 6.42
1000 6.88
0200 7.1
0320 7.58
0032 7.91
0003 8.02
0001 8.25
1000 8.49
0010 8.709999999999999
0100 8.93
0001 9.17
1000 9.379999999999999
0001 9.74
1000 9.85
0010 10.08
0100 10.54
0001 10.77
0010 11.24
0001 11.59
0010 11.69
0100 11.91
1000 12.149999999999999
0010 12.32
0010 12.6
0100 12.719999999999999
0001 12.87
0010 13.04
0010 13.27
0100 13.51
0100 13.75
1000 13.85
0020 13.959999999999999
0030 14.2
0100 14.43
0001 14.549999999999999
1000 14.649999999999999
1000 14.879999999999999
0010 15.01
0100 15.09
0001 15.219999999999999
0010 15.45
0100 15.68
0100 16.27
0010 16.4
0010 16.73
0100 16.96
1000 17.41
1000 17.53
0010 17.630000000000003
0100 18.0
0001 18.1
1000 18.26
0100 18.55
0010 18.71
0001 19.259999999999998
0100 19.5
0010 19.7
0100 19.93
0001 20.09
2002 20.39
3003 21.09
0001 21.199999999999996
1000 21.299999999999997
0100 21.769999999999996
0100 21.99
0100 22.119999999999997
0010 22.229999999999997
0010 22.679999999999996
0010 22.9
0010 23.13
1000 23.369999999999997
0010 23.599999999999998
0010 23.83
0001 24.049999999999997
1000 24.279999999999998
0010 24.509999999999998
1000 24.61
0010 24.74
1000 25.32
0100 25.43
0010 25.580000000000002
0100 25.66
0010 25.810000000000002
0100 25.89
1000 26.11
1000 26.46
0100 26.57
0010 27.14
0100 27.25
1000 27.41
0001 27.49
0100 27.73
0010 28.06
1000 28.169999999999998
0001 28.31
0010 28.43
0001 28.54
1000 28.64
0100 29.089999999999996
0010 29.319999999999997
0001 29.549999999999997
0100 29.9
0010 30.229999999999997
1000 30.539999999999996
0100 30.689999999999998
1000 30.919999999999998
0010 31.15
0100 31.38
0100 31.84
0001 32.17
0010 32.29
0100 32.76
0100 33.21
0110 33.67
0010 34.13
0001 34.47
1000 34.59
0001 34.84
1000 34.93
0010 35.050000000000004
0010 35.5
0010 35.86
0100 35.97
0100 36.300000000000004
0001 36.42
1001 36.87
0001 38.26
0100 38.48
0010 38.71
1000 39.17
1001 39.629999999999995
0010 40.089999999999996
0100 40.35
0001 40.53
0010 40.99
0100 41.35
1000 41.45
1000 42.16
0100 42.379999999999995
0010 42.83
0001 43.28999999999999
0100 43.529999999999994
0010 43.64999999999999
1000 43.74999999999999
0001 43.98
0010 44.209999999999994
0200 44.66
1300 45.12
0010 45.339999999999996
1000 45.47
0010 45.589999999999996
1000 45.669999999999995
0001 45.779999999999994
0010 46.019999999999996
0100 46.26
1000 46.61
0100 46.949999999999996
1000 47.18
0010 47.3
0100 47.64
0001 47.879999999999995
0010 48.1
0001 48.22
0010 48.44
0001 48.55
0010 48.67
0100 48.78
1000 49.0
0010 49.13
0100 49.36
0001 49.7
0010 49.93
0100 50.160000000000004
1000 50.38
0010 50.84
0100 51.08
0001 51.53
0010 51.77
0100 51.989999999999995
1000 52.449999999999996
0100 52.68
0010 52.91
0001 53.37
1000 53.599999999999994
0010 53.82
0100 54.519999999999996
0001 54.739999999999995
0010 55.0
0100 55.43
1000 55.66
0001 55.91
1000 56.11
0010 56.36
2000 56.58
3200 57.49
0300 57.94
1000 58.17999999999999
0002 58.41
0103 58.87
0010 59.089999999999996
1000 59.32999999999999
0010 59.449999999999996
0100 59.65
0010 59.779999999999994
1000 60.01
0001 60.239999999999995
0010 60.47
0200 60.699999999999996
2300 61.15
3010 61.61
0100 61.83
0001 61.96
0100 62.07
0002 62.309999999999995
0013 62.769999999999996
0100 62.98
1000 63.22
0100 63.44
0010 63.67
0002 63.9
1003 64.36
0010 64.58
0100 64.82
0010 65.05
1000 65.27
0100 65.5
0010 65.73
0100 65.97
1000 66.19
0001 66.45
0100 66.65
0010 67.1
1000 67.34
0100 67.46000000000001
1000 67.56
0010 67.93
0100 68.03
0100 68.48
0001 68.94
0010 69.30000000000001
0001 69.4
1000 69.63000000000001
0001 69.85000000000001
0100 70.31
0010 70.78
1000 71.22999999999999
0001 71.6
0010 71.69
0001 71.80999999999999
1000 72.13999999999999
0100 72.49999999999999
0010 72.6
0001 72.74
1000 72.83999999999999
0001 73.07
0001 73.50999999999999
0001 73.75999999999999
0010 73.97
0100 74.42999999999999
0010 74.88
0010 75.35
0100 75.72
1000 75.81
1000 76.03999999999999
0100 76.27
0100 76.5
1000 76.72999999999999
0001 76.96
0100 77.19
0100 77.42
0010 77.64
0010 77.86999999999999
1000 78.09
1000 78.34
0001 78.56
0010 79.46
0100 79.92
1000 80.06
0100 80.39
0100 80.85
0010 81.31
0010 81.77
0001 82.22
1000 82.46
0001 82.58
0100 83.13
0010 83.72
1000 84.05
0001 84.29
1000 84.41
0010 84.50999999999999
0010 84.97999999999999
1000 85.1
0002 85.21
0023 85.88
0230 86.33999999999999
1300 86.8
0100 87.16999999999999
1000 87.27
0001 87.49999999999999
0100 87.72999999999999
0010 87.85
0100 87.96
0001 88.17999999999999
0010 88.52999999999999
0100 88.63
1000 88.86999999999999
0010 88.99
0100 89.08999999999999
0010 89.32
2000 89.53999999999999
3001 89.89999999999999
0020 90.00999999999999
0130 90.25
0010 90.47
0100 90.69
1000 90.92
0200 91.05
1300 91.28
0010 91.38
0020 91.61
0130 91.83999999999999
0200 92.05999999999999
0310 92.3
0020 92.50999999999999
0030 92.75
1000 92.99
0010 93.2
0001 93.34
0020 93.66
0130 93.86999999999999
2000 94.00999999999999
3200 94.36
1300 94.48
0100 94.58
0010 94.7
0002 94.8
0023 95.02
0230 95.26
1300 95.49
0010 95.86
0100 95.97
0001 96.1
1000 96.2
0100 96.33
0120 96.43
0031 96.87
0010 97.11
0001 97.34
0100 97.57
0010 97.91
2000 98.26
3200 98.48
0320 98.71000000000001
0032 99.16
0103 99.49
0010 99.62
1000 99.74
0200 99.82000000000001
0310 100.08
0010 100.31
0001 100.54
1000 100.77000000000001
0100 100.99000000000001
0010 101.23
0001 101.34
1000 101.45
0010 101.67
0100 101.8
0002 101.89999999999999
0023 102.13999999999999
0032 102.35999999999999
0203 102.49999999999999
0320 102.6
2030 102.82
3000 103.3
0002 103.41
0013 103.50999999999999
0002 103.75999999999999
0203 104.19999999999999
0320 104.66999999999999
2030 105.11999999999999
3001 105.22999999999999
0010 105.33999999999999
0002 105.58
0103 106.03999999999999
0020 106.49
1030 106.94999999999999
0001 107.05999999999999
0020 107.16999999999999
0130 107.41
1000 107.86
0001 108.08999999999999
0200 108.32
0320 108.78999999999999
1030 109.24
0100 109.36999999999999
0020 109.47
0130 109.82
1000 110.0
0200 110.14999999999999
0310 110.64999999999999
0002 110.89
0103 111.31
0010 111.65
1000 111.82
0002 111.99
0013 112.45
0001 112.8
0010 112.9
0100 113.16
2000 113.36
3001 113.83
0100 114.07000000000001
0020 114.29
1030 114.74
0020 115.19
0130 115.65999999999998
0001 115.88
1000 116.10999999999999
0010 116.58999999999999
0100 116.82
0001 116.90999999999998
1000 117.02999999999999
0001 117.74999999999999
0200 117.94999999999999
0302 118.41
2003 118.85999999999999
3100 119.32
0010 119.55
0001 119.77999999999999
0100 120.24
0010 120.47
0100 120.69999999999999
0001 121.16
0010 121.61999999999999
0100 122.69
1000 123.25
0001 123.42999999999999
0100 123.89999999999999
0010 124.35
1000 124.47999999999999
0010 124.58
1000 124.81
0100 125.17
0010 125.27
0100 125.50999999999999
0010 125.73
